playerDeck,Aatrox/Kayn (RU),Ziggs (BC/SH),Aatrox/Akshan (RU/SH),Aatrox/Vayne (DE/RU),Akshan/Varus (RU/SH),Annie/Jhin (NX/RU),Caitlyn/Jayce (DE/PZ),Draven/Jinx (NX/PZ),Ekko/Jinx (PZ/SH),Ezreal/Seraphine (BC/PZ),Gangplank/Sejuani (BW/FR),Garen (DE/IO),Gwen/Katarina (NX/SI),Heimerdinger/Norra (BC/DE),Jinx (DE/PZ),Jinx/Lulu (BC/PZ),Jinx/Teemo (DE/PZ),Kayle/Zoe (FR/MT),LeBlanc/Sivir (NX/SH),Norra/Poppy (BC/DE),Norra/Teemo (BC/DE),Pyke/Rek'Sai (BW/SH),Quinn/Vayne (DE/RU),SunDisc,Taliyah/Ziggs (BC/SH),Trundle Timelines (FR/PZ),Fiora (DE/FR),Garen (DE),Hecarim/Zed (IO/SI),Illaoi/Vayne (BW/DE),Nami/Twisted Fate (BW/SI),Rumble/Vayne (DE/NX),Seraphine/Viktor (IO/PZ),Teemo/Zoe (MT/PZ),Trundle/Tryndamere (FR/IO),Trundle/Tryndamere (FR/SI),Xerath/Ziggs (BC/SH)
Aatrox/Akshan (RU/SH),0.0909090909090909,0.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aatrox/Kayn (RU),0.5,0.54954954954955,0.909090909090909,0.545454545454545,0.542857142857143,0.6,0.0833333333333333,0.444444444444444,0.727272727272727,0.488372093023256,0.619047619047619,0.636363636363636,0.586956521739131,0.0909090909090909,0.470588235294118,0.545454545454545,0.25531914893617,0.529411764705882,0.466666666666667,0.4,0.583333333333333,0.395348837209302,0.45,0.714285714285714,0.46875,0.538461538461538,,,,,,,,,,,
Aatrox/Vayne (DE/RU),0.454545454545455,0.516666666666667,,,,,,,,,,,0.333333333333333,0.5,0.608695652173913,,0.214285714285714,,,,,0.6,0.266666666666667,,0.363636363636364,,,,,,,,,,,,
Akshan/Varus (RU/SH),0.457142857142857,0.642857142857143,,,,,,0.5,,,,,,,0.615384615384615,,0.545454545454545,,,,,0.461538461538462,0.615384615384615,,0.3,,,,,,,,,,,,
Annie/Jhin (NX/RU),0.4,0.454545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caitlyn/Jayce (DE/PZ),0.916666666666667,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draven/Jinx (NX/PZ),0.555555555555556,0.51063829787234,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekko/Jinx (PZ/SH),0.272727272727273,0.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal/Seraphine (BC/PZ),0.511627906976744,0.490196078431373,,,,,,,,,,,,,0.714285714285714,,,,,,,,0.153846153846154,,,,,,,,,,,,,,
Fiora (DE/FR),,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank/Sejuani (BW/FR),0.380952380952381,0.416666666666667,,,,,,,,,,,,,,,,,,,,,0.384615384615385,,,,,,,,,,,,,,
Garen (DE),,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garen (DE/IO),0.363636363636364,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen/Katarina (NX/SI),0.41304347826087,0.438356164383562,,0.666666666666667,,,,,,,,,0.5,,0.409090909090909,,,,,,,0.769230769230769,,,0.4,,,,,,,,,,,,
Hecarim/Zed (IO/SI),,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heimerdinger/Norra (BC/DE),0.909090909090909,0.583333333333333,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
Illaoi/Vayne (BW/DE),,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx (DE/PZ),0.529411764705882,0.304347826086957,,0.391304347826087,0.384615384615385,,,,,0.285714285714286,,,0.590909090909091,0.5,0.5,0.105263157894737,0.380952380952381,,,0.307692307692308,,0.647058823529412,0.470588235294118,,0.291666666666667,,,,,,,,,,,,
Jinx/Lulu (BC/PZ),0.454545454545455,0.521739130434783,,,,,,,,,,,,,0.894736842105263,,,,,,,,0.5,,0.545454545454545,,,,,,,,,,,,
Jinx/Teemo (DE/PZ),0.74468085106383,0.444444444444444,,0.785714285714286,0.454545454545455,,,,,,,,,,0.619047619047619,,0.5,,,,,,0.45,,,0.4,,,,,,,,,,,
Kayle/Zoe (FR/MT),0.470588235294118,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc/Sivir (NX/SH),0.533333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami/Twisted Fate (BW/SI),,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norra/Poppy (BC/DE),0.6,0.454545454545455,,,,,,,,,,,,,0.692307692307692,,,,,,,,,,,,,,,,,,,,,,
Norra/Teemo (BC/DE),0.416666666666667,0.363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyke/Rek'Sai (BW/SH),0.604651162790698,0.46031746031746,,0.4,0.538461538461538,,,,,,,,0.230769230769231,,0.352941176470588,,,,,,,0.5,,0.636363636363636,,,,,,,,,,,,,
Quinn/Vayne (DE/RU),0.55,0.442857142857143,,0.733333333333333,0.384615384615385,,,,,0.846153846153846,0.615384615384615,,,,0.529411764705882,0.5,0.55,,,,,,0.5,,0.363636363636364,,,,,,,,,,,,
Rumble/Vayne (DE/NX),,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine/Viktor (IO/PZ),,0.230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SunDisc,0.285714285714286,0.419354838709677,,,,,,,,,,,,,,,,,,,,0.363636363636364,,,,,,,,,,,,,,,
Taliyah/Ziggs (BC/SH),0.53125,0.660377358490566,,0.636363636363636,0.7,,,,,,,,0.6,,0.708333333333333,0.454545454545455,,,,,,,0.636363636363636,,0.5,,,,,,,,,,,,
Teemo/Zoe (MT/PZ),,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle Timelines (FR/PZ),0.461538461538462,0.444444444444444,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,
Trundle/Tryndamere (FR/IO),,0.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle/Tryndamere (FR/SI),,0.181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xerath/Ziggs (BC/SH),,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziggs (BC/SH),0.450450450450451,0.5,0.571428571428571,0.483333333333333,0.357142857142857,0.545454545454545,0.5625,0.48936170212766,0.428571428571429,0.509803921568627,0.583333333333333,0.5625,0.561643835616438,0.416666666666667,0.695652173913044,0.478260869565217,0.555555555555556,0.6,,0.545454545454545,0.636363636363636,0.53968253968254,0.557142857142857,0.580645161290323,0.339622641509434,0.555555555555556,0.5,0.5,0.5,0.5,0.4375,0.5,0.769230769230769,0.4,0.833333333333333,0.818181818181818,0.7
